mode,workers,repeat,tasks,success_count,batch_wall_s
baseline_separate_serial,1,1,21,21,49.98220507800579
baseline_separate_serial,1,2,21,21,43.56062626838684
baseline_separate_serial,1,3,21,21,47.16357059031725
baseline_separate_serial,1,4,21,21,44.16343288868666
baseline_separate_serial,1,5,21,21,45.31344770640135
persistent_serial,1,1,21,21,6.600544773042202
persistent_serial,1,2,21,21,6.165137566626072
persistent_serial,1,3,21,21,6.6569164246320724
persistent_serial,1,4,21,21,5.9092477560043335
persistent_serial,1,5,21,21,5.870456390082836
persistent_parallel_2,2,1,21,21,4.71537397056818
persistent_parallel_2,2,2,21,21,4.3898224756121635
persistent_parallel_2,2,3,21,21,5.0714859291911125
persistent_parallel_2,2,4,21,21,4.340130597352982
persistent_parallel_2,2,5,21,21,4.577829301357269
persistent_parallel_4,4,1,21,21,3.653156653046608
persistent_parallel_4,4,2,21,21,3.670799106359482
persistent_parallel_4,4,3,21,21,3.4262987822294235
persistent_parallel_4,4,4,21,21,3.8573311641812325
persistent_parallel_4,4,5,21,21,3.439351089298725
persistent_parallel_8,8,1,21,21,3.4121460169553757
persistent_parallel_8,8,2,21,21,3.2565387338399887
persistent_parallel_8,8,3,21,21,3.295681983232498
persistent_parallel_8,8,4,21,21,3.272069104015827
persistent_parallel_8,8,5,21,21,3.2807967886328697
