mode,workers,repeat,tasks,success_count,batch_wall_s
baseline_separate_serial,1,1,21,21,47.51300508528948
baseline_separate_serial,1,2,21,21,46.74119979143143
baseline_separate_serial,1,3,21,21,54.69899018108845
baseline_separate_serial,1,4,21,21,47.20315932482481
baseline_separate_serial,1,5,21,21,52.875934302806854
persistent_serial,1,1,21,21,5.9114899560809135
persistent_serial,1,2,21,21,7.28572042286396
persistent_serial,1,3,21,21,7.933642163872719
persistent_serial,1,4,21,21,6.942181810736656
persistent_serial,1,5,21,21,5.859729133546352
persistent_parallel_2,2,1,21,21,5.037957154214382
persistent_parallel_2,2,2,21,21,4.279842399060726
persistent_parallel_2,2,3,21,21,4.602262765169144
persistent_parallel_2,2,4,21,21,5.155743777751923
persistent_parallel_2,2,5,21,21,4.206571847200394
persistent_parallel_4,4,1,21,21,3.5465809255838394
persistent_parallel_4,4,2,21,21,3.53621868789196
persistent_parallel_4,4,3,21,21,3.875922754406929
persistent_parallel_4,4,4,21,21,3.9061886444687843
persistent_parallel_4,4,5,21,21,3.5248637944459915
persistent_parallel_8,8,1,21,21,3.2402247935533524
persistent_parallel_8,8,2,21,21,3.94767002761364
persistent_parallel_8,8,3,21,21,3.9217708110809326
persistent_parallel_8,8,4,21,21,3.6400855109095573
persistent_parallel_8,8,5,21,21,3.5928054079413414
