order,repeat,tasks,batch_wall_s,success
ascending,1,21,6.97402960807085,True
ascending,2,21,6.562819637358189,True
ascending,3,21,5.886786922812462,True
ascending,4,21,5.869810827076435,True
ascending,5,21,6.527808822691441,True
ascending,6,21,5.880956217646599,True
ascending,7,21,6.385597422719002,True
ascending,8,21,6.768782079219818,True
descending,1,21,6.635513864457607,True
descending,2,21,5.889359459280968,True
descending,3,21,6.4309027120471,True
descending,4,21,5.897200137376785,True
descending,5,21,5.902288518846035,True
descending,6,21,5.9259240329265594,True
descending,7,21,6.386595159769058,True
descending,8,21,5.989183247089386,True
interleaved,1,21,5.92483115196228,True
interleaved,2,21,5.91758032143116,True
interleaved,3,21,6.621402837336063,True
interleaved,4,21,6.547508001327515,True
interleaved,5,21,6.562336191534996,True
interleaved,6,21,7.045458443462849,True
interleaved,7,21,7.2848289385437965,True
interleaved,8,21,7.38702679425478,True
