backend,backend_setup_s,checksum_imag,checksum_real,creation_s,cuda_visible_devices,execution_s,max_rss_mb,omp_threads,openblas_threads,phase,process_wall_s,qubits,repeat,returncode,state_norm,state_size,status,threads,total_s,workload
qibotn (quimb),0.9342245683073997,0.0,724.0773439350249,0.0027081146836280823,,0.46957820653915405,276.375,1,1,thread_sweep,2.8024791553616524,19,1,0,0.9999999999999999,524288,success,1,1.4065181761980057,QFT
qibotn (quimb),0.6770996153354645,0.0,724.0773439350249,0.0019427165389060974,,0.4315417781472206,276.95703125,1,1,thread_sweep,2.1826745569705963,19,2,0,0.9999999999999999,524288,success,1,1.1105910390615463,QFT
qibotn (quimb),0.6608695983886719,0.0,724.0773439350249,0.0020135045051574707,,0.436409130692482,277.06640625,1,1,thread_sweep,2.1851811185479164,19,3,0,0.9999999999999999,524288,success,1,1.0992998033761978,QFT
qibotn (quimb),0.6881975084543228,0.0,724.0773439350249,0.0019783824682235718,,0.42961087822914124,277.14453125,1,1,thread_sweep,2.183193661272526,19,4,0,0.9999999999999999,524288,success,1,1.119794137775898,QFT
qibotn (quimb),0.6840332821011543,0.0,724.0773439350249,0.002028457820415497,,0.43427103757858276,277.05859375,1,1,thread_sweep,2.1879833936691284,19,5,0,0.9999999999999999,524288,success,1,1.1203400492668152,QFT
qibotn (quimb),0.9609060287475586,0.0,724.0773439350249,0.0027791932225227356,,0.6387592107057571,277.09375,2,2,thread_sweep,2.726442739367485,19,1,0,1.0,524288,success,2,1.6024559289216995,QFT
qibotn (quimb),0.9284306988120079,0.0,724.0773439350249,0.0032307133078575134,,0.5358066856861115,277.21484375,2,2,thread_sweep,2.8945571035146713,19,2,0,1.0,524288,success,2,1.4674783870577812,QFT
qibotn (quimb),0.946198545396328,0.0,724.0773439350249,0.003314569592475891,,0.5820741355419159,276.78125,2,2,thread_sweep,2.9405429363250732,19,3,0,1.0,524288,success,2,1.531597413122654,QFT
qibotn (quimb),0.7128937467932701,0.0,724.0773439350249,0.001951165497303009,,0.44087856262922287,277.19921875,2,2,thread_sweep,2.2003083527088165,19,4,0,1.0,524288,success,2,1.1557310223579407,QFT
qibotn (quimb),0.8691230192780495,0.0,724.0773439350249,0.0020397603511810303,,0.44211218506097794,277.02734375,2,2,thread_sweep,2.3878597021102905,19,5,0,1.0,524288,success,2,1.3132822439074516,QFT
qibotn (quimb),0.6939651072025299,0.0,724.0773439350249,0.00200585275888443,,0.4313107505440712,276.4921875,4,4,thread_sweep,2.2497141286730766,19,1,0,1.0,524288,success,4,1.1272896826267242,QFT
qibotn (quimb),0.7241408079862595,0.0,724.0773439350249,0.0020304322242736816,,0.4398910850286484,277.2265625,4,4,thread_sweep,2.234787367284298,19,2,0,1.0,524288,success,4,1.1660698875784874,QFT
qibotn (quimb),0.7081707119941711,0.0,724.0773439350249,0.0019710808992385864,,0.43325114995241165,275.96484375,4,4,thread_sweep,2.195862337946892,19,3,0,1.0,524288,success,4,1.143400825560093,QFT
qibotn (quimb),0.9398529529571533,0.0,724.0773439350249,0.003389298915863037,,0.5191241577267647,277.46875,4,4,thread_sweep,2.856983706355095,19,4,0,1.0,524288,success,4,1.4623762145638466,QFT
qibotn (quimb),0.6557877361774445,0.0,724.0773439350249,0.001967012882232666,,0.43133363872766495,275.6875,4,4,thread_sweep,2.1878667026758194,19,5,0,1.0,524288,success,4,1.089095488190651,QFT
qibotn (quimb),0.705066941678524,0.0,724.0773439350249,0.0020166337490081787,,0.4386465549468994,277.5703125,8,8,thread_sweep,2.546022482216358,19,1,0,1.0,524288,success,8,1.145739994943142,QFT
qibotn (quimb),0.6819375306367874,0.0,724.0773439350249,0.001945212483406067,,0.43109334260225296,277.1484375,8,8,thread_sweep,2.2216241732239723,19,2,0,1.0,524288,success,8,1.1149832978844643,QFT
qibotn (quimb),0.6902398616075516,0.0,724.0773439350249,0.002013467252254486,,0.4350077658891678,277.16015625,8,8,thread_sweep,2.2482783645391464,19,3,0,1.0,524288,success,8,1.1272687464952469,QFT
qibotn (quimb),0.7027910202741623,0.0,724.0773439350249,0.002030797302722931,,0.43016965687274933,276.4375,8,8,thread_sweep,2.214030794799328,19,4,0,1.0,524288,success,8,1.1349984779953957,QFT
qibotn (quimb),0.6941407918930054,0.0,724.0773439350249,0.0020041540265083313,,0.43184325844049454,276.63671875,8,8,thread_sweep,2.199093997478485,19,5,0,1.0,524288,success,8,1.1279958859086037,QFT
qibotn (quimb),0.6933765113353729,0.0,724.0773439350249,0.001968398690223694,,0.43435266613960266,276.87109375,16,16,thread_sweep,2.1887220963835716,19,1,0,1.0,524288,success,16,1.1297050192952156,QFT
qibotn (quimb),0.7328694462776184,0.0,724.0773439350249,0.0019527673721313477,,0.43848442286252975,277.73046875,16,16,thread_sweep,2.5789733827114105,19,2,0,1.0,524288,success,16,1.1733156815171242,QFT
qibotn (quimb),0.6768922805786133,0.0,724.0773439350249,0.0019683167338371277,,0.4351661801338196,277.671875,16,16,thread_sweep,2.2064986005425453,19,3,0,1.0,524288,success,16,1.114034280180931,QFT
qibotn (quimb),0.6969671845436096,0.0,724.0773439350249,0.00198160856962204,,0.4314068332314491,277.51171875,16,16,thread_sweep,2.194940857589245,19,4,0,1.0,524288,success,16,1.1303628459572792,QFT
qibotn (quimb),0.9566327407956123,0.0,724.0773439350249,0.0030921250581741333,,0.494926817715168,277.3515625,16,16,thread_sweep,2.8654480576515198,19,5,0,1.0,524288,success,16,1.4546621665358543,QFT
qibotn (quimb),0.7117485776543617,0.0,724.0773439350249,0.0019816532731056213,,0.43825482577085495,276.63671875,24,24,thread_sweep,2.237117387354374,19,1,0,1.0,524288,success,24,1.1519924476742744,QFT
qibotn (quimb),0.9483755752444267,0.0,724.0773439350249,0.0029507800936698914,,0.6334906294941902,277.90234375,24,24,thread_sweep,3.0819525718688965,19,2,0,1.0,524288,success,24,1.5848286226391792,QFT
qibotn (quimb),0.6815375685691833,0.0,724.0773439350249,0.0020155534148216248,,0.43838468939065933,277.2421875,24,24,thread_sweep,2.49376679956913,19,3,0,1.0,524288,success,24,1.1219483464956284,QFT
qibotn (quimb),0.9524062275886536,0.0,724.0773439350249,0.0031390413641929626,,0.6325627565383911,277.15234375,24,24,thread_sweep,3.0566007643938065,19,4,0,1.0,524288,success,24,1.588120736181736,QFT
qibotn (quimb),0.9477195143699646,0.0,724.0773439350249,0.0030582770705223083,,0.5711926743388176,277.4375,24,24,thread_sweep,2.9603509455919266,19,5,0,1.0,524288,success,24,1.5219808742403984,QFT
